City_ID,City_Name,City_CountryCode,City_IATACode,City_Latitude,City_Longitude,City_RadiusOverrideMI
2184,"Fuengirola, Costa del Sol, Spain",ES,AGP,36.5418842956,-4.6237199629,3.0
9188,"Fuerteventura, Canary Islands, Spain",ES,FUE,28.3297364348,-14.0674089102,35.0
9187,"Gran Canaria, Canary Islands, Spain",ES,LPA,27.9604441049,-15.5923245434,23.0
2978,"Ibiza, Balearic Islands, Spain",ES,IBZ,38.9876950743,1.4062551484,13.0
23492,"La Gomera, Canary Islands, Spain",ES,GMZ,28.1193640000,-17.2294580000,10.0
9190,"La Palma, Canary Islands, Spain",ES,SPC,28.6617267000,-17.8431727000,15.0
9189,"Lanzarote, Canary Islands, Spain",ES,ACE,29.0431340676,-13.6359483743,20.0
4170,"Las Palmas, Gran Canaria, Spain",ES,LPA,28.1292529968,-15.4286614553,4.0
4331,"Madrid, Spain",ES,MAD,40.4166910000,-3.7003450000,11.0
9203,"Magalluf, Majorca (Mallorca), Spain",ES,PMI,39.5063337726,2.5320166477,2.0
9186,"Majorca (Mallorca), Balearic Islands, Spain",ES,PMI,39.6045444178,2.9116512360,34.0
21533,"Mallorca Interior, Majorca (Mallorca), Spain",ES,PMI,39.6199340000,2.9729170000,10.0
23694,"Mallorca Island, Majorca (Mallorca), Spain",ES,PMI,39.6045444178,2.9116512360,34.0
4335,"Menorca, Balearic Islands, Spain",ES,MAH,39.9690208231,4.0779405703,17.0
21522,"Mijas Costa, Spain",ES,AGP,36.5596834207,-4.6121188672,3.0
19974,"Mijas Pueblo, Mijas, Andalusia, Spain",ES,AGP,36.5938530000,-4.6401620000,2.0
23992,"Mijas, Andalusia, Spain",ES,AGP,36.5955700000,-4.6377100000,5.0
4555,"Murcia, Spain",ES,RMU,37.9834450000,-1.1298900000,14.0
9280,"Playa Blanca, Lanzarote, Spain",ES,ACE,28.8720100000,-13.8416250000,2.0
23860,"Salou, Catalonia, Spain",ES,REU,41.0763400000,1.1317600000,4.0
232802,"San Antonio, Ibiza, Balearic Islands, Spain",ES,IBZ,38.9823651000,1.2929359000,10.0
24017,"Seville, Andalusia, Spain",ES,SVQ,37.3861900000,-5.9919800000,7.0
11170,"Tenerife North, Tenerife, Canary Islands, Spain",ES,TCI,28.4923993041,-16.3934292266,18.0
11148,"Tenerife South, Tenerife, Canary Islands, Spain",ES,TCI,28.1170963758,-16.5793839630,17.0
7080,"Tenerife, Canary Islands, Spain",ES,TCI,28.3048648912,-16.5014139356,31.0
232849,"Lapland, Lappi, Finland",FI,RVN,67.2009920840,26.4641880437,70.0
6904,"Suva, Fiji",FJ,SUV,-18.1392203839,178.4403336816,5.0
159,"Alpe d'Huez, France",FR,FR4,45.0907251030,6.0651368940,1.0
441,"Avignon, France",FR,AVN,43.9493170000,4.8055280000,15.0
229035,"Avoriaz, Morzine, Haute-Savoie, France",FR,GVA,46.1906970000,6.7733110000,2.0
686,"Bastia, Corsica, France",FR,FR2,42.6966660323,9.4471650156,3.0
228679,"Bourg-Saint-Maurice, Savoie, France",FR,FR1,45.6173932558,6.7689812593,3.0
42235,"Cité, Narbonne, Aude, France",FR,BZR,43.1848680000,3.0051490000,5.0
232908,"Corsica, France",FR,FR2,42.2038318113,9.1371315281,59.0
163489,"Courchevel Ski Resort, France",FR,FR1,45.4078270206,6.6365443176,2.0
1530,"Courchevel, France",FR,FR1,45.4299261554,6.6216757354,3.0
8117,"Disneyland Paris Area, Chessy, France",FR,PAR,48.8670505402,2.7837217286,8.0
228584,"Espace Killy, France",FR,CVF,45.4565050000,6.9565630000,4.0
231900,"Isola, Alpes-Maritimes, France",FR,NCE,44.1866230000,7.0533130000,2.0
232928,"La Balagne & North, Corsica, France",FR,FR2,42.6803709034,9.0970108305,30.0
228488,"La Plagne, France",FR,FR1,45.5035151422,6.6891879099,1.5
232883,"Les Arcs, France",FR,FR1,45.5731929898,6.8027763893,4.5
122926,"Les Deux Alpes, Isere, France",FR,FR4,45.0135378555,6.1254512910,2.5
228585,"Les Trois Vallees/Three Valleys (Les 3 Vallees), France",FR,GVA,45.3480600000,6.5805630000,15.0
54050,"L'Extreme-Sud, Corsica, France",FR,FR3,41.6836379125,9.1198784805,25.0
230368,"Morzine, Haute-Savoie, France",FR,GVA,46.1793670000,6.7086490000,2.0
232929,"North East Corsica, France",FR,FR2,42.6741590640,9.4038184922,25.0
173653,"Paradiski, France",FR,CVF,45.5347940000,6.7446330000,7.0
5537,"Paris, France",FR,PAR,48.8566140000,2.3522220000,6.0
230522,"Tignes, Savoie, France",FR,FR1,45.4686730829,6.9054265289,5.0
232930,"Valinco & West Coast, Corsica, France",FR,FR3,41.9248395143,8.7428205102,26.0
1916,"Edinburgh, Scotland, United Kingdom",GB,EDI,55.9040130474,-3.1710565078,10.0
4179,"Liverpool, England, United Kingdom",GB,LPL,53.4146254436,-2.9441689160,9.5
4159,"London, England, United Kingdom",GB,LON,51.4948767394,-0.1223077877,13.0
4341,"Manchester, England, United Kingdom",GB,MAN,53.4796914423,-2.2426167461,5.0
232997,"Newport, Wales, United Kingdom",GB,CWL,51.5840547080,-2.9985158713,4.0
232840,"Grenada, Grenada",GD,GND,12.1101352335,-61.6833876371,12.0
226324,"Aghios Nikolaos Town, Agios Nikolaos, Crete, Greece",GR,HER,35.1873464723,25.6881238887,6.0
396,"Athens, Greece",GR,ATH,37.9677533815,23.7349991836,8.0
1255,"Chania, Crete, Greece",GR,CHQ,35.3994167390,23.8198812092,24.0
232746,"Corfu, Greece",GR,CFU,39.5674040079,19.8541683000,21.0
232763,"Crete, Greece",GR,GR1,35.0303121224,24.8052616344,90.0
226250,"Faliraki, Rhodes, South Aegean, Greece",GR,RHO,36.3429760000,28.2040940000,3.0
232766,"Halkidiki, Greece",GR,SKG,40.2752769000,23.6687786000,28.0
2739,"Heraklion, Crete, Greece",GR,HER,35.3864673848,25.3314338213,27.0
232969,"Ionian Coast, Greece",GR,EFL,38.7683825029,20.1959800156,65.0
1931,"Kefalonia (Cephalonia), Greece",GR,EFL,38.2064172031,20.5216450133,18.0
3523,"Kos, Greece",GR,KGS,36.7749081924,27.1364767305,13.0
232832,"Lassithi Area, Crete, Greece",GR,HER,35.3051220196,25.6892203701,10.0
230643,"Lefkas (Lefkada), Greece",GR,PVK,38.7056792351,20.6425268477,12.0
226247,"Lindos, Rhodes, South Aegean, Greece",GR,RHO,36.0928164494,28.0854376772,3.0
3311,"Mykonos, South Aegean, Greece",GR,JMK,37.4475587081,25.3760296934,5.0
225576,"Parga, Epirus, Greece",GR,PVK,39.2870025758,20.3254001121,7.5
232799,"Pefkos (Pevkos), Rhodes, Greece",GR,RHO,36.0700710899,28.0527539558,4.0
41797,"Peloponnese, Western Greece and the Ionian, Greece",GR,PYR,37.3520392468,22.0891953203,65.0
